age,starttime,gender,hhi,education,ideo5,newsint,corona1,stimulus_check,amount,employ,pres_2020,pres_2020lean,dfp_public_figure_ap_1,dfp_public_figure_ap_2,dfp_public_figure_ap_3,dfp_public_figure_ap_4,dfp_public_figure_ap_5,dfp_public_figure_ap_6,dfp_public_figure_ap_7,dfp_public_figure_ap_8,dfp_public_figure_ap_9,dfp_public_figure_ap_10
58,5/19/2020 10:39,Male,20,6,Very conservative,Hardly at all,Very worried,Yes,2400,Full-time,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly approve,Strongly approve
40,5/19/2020 10:49,Male,11,6,Very liberal,Most of the time,Not worried at all,Yes,12,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly approve,Somewhat approve,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly approve,Somewhat disapprove,Somewhat disapprove
65,5/19/2020 10:57,Male,8,4,Moderate,Most of the time,Very worried,Yes,2400,Retired,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve
71,5/19/2020 10:46,Male,7,5,Moderate,Most of the time,Not too worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve
25,5/19/2020 11:03,Female,17,6,Moderate,Most of the time,Very worried,Yes,1200,Full-time,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat disapprove,Not sure,Not sure,Somewhat disapprove,Not sure,Somewhat disapprove,Strongly disapprove,Strongly approve
54,5/19/2020 11:07,Female,9,2,Very conservative,Most of the time,Not too worried,Yes,2400,Homemaker,Donald Trump (Republican),,Strongly approve,Not sure,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Not sure,Strongly disapprove,Somewhat approve,Somewhat approve
62,5/19/2020 10:50,Male,14,6,Conservative,Most of the time,Not too worried,No,,Retired,Donald Trump (Republican),,Strongly approve,Not sure,Somewhat disapprove,Not sure,Not sure,Not sure,Not sure,Strongly disapprove,Strongly approve,Strongly approve
45,5/19/2020 11:05,Male,20,8,Conservative,Most of the time,Not too worried,Yes,568,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat approve
20,5/19/2020 11:10,Male,7,4,Liberal,Some of the time,Somewhat worried,No,,Student,Joe Biden (Democrat),,Strongly disapprove,Not sure,Somewhat approve,Not sure,Not sure,Somewhat approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve
67,5/19/2020 11:05,Male,9,7,Moderate,Most of the time,Very worried,No,,Part-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Somewhat disapprove
58,5/19/2020 11:06,Male,18,4,Moderate,Only now and then,Somewhat worried,Yes,1200,Full-time,Joe Biden (Democrat),,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly approve,Strongly approve,Not sure,Somewhat disapprove,Somewhat approve
71,5/19/2020 11:08,Male,19,7,Very conservative,Some of the time,Not too worried,Yes,2400,Part-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve
19,5/19/2020 11:11,Male,2,4,Moderate,Some of the time,Not worried at all,No,,Student,Donald Trump (Republican),,Strongly approve,Not sure,Somewhat approve,Not sure,Strongly approve,Strongly approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly approve
47,5/19/2020 11:14,Female,12,6,Liberal,Some of the time,Very worried,Yes,2400,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Not sure,Somewhat approve,Somewhat disapprove,Not sure
70,5/19/2020 11:09,Male,12,4,Conservative,Most of the time,Not worried at all,Yes,2400,Retired,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve
20,5/19/2020 11:14,Female,5,2,Conservative,Only now and then,Very worried,Yes,1200,Homemaker,Not sure,Joe Biden (Democrat),Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Not sure,Somewhat disapprove,Not sure,Somewhat disapprove,Somewhat disapprove,Not sure
36,5/19/2020 11:17,Female,9,6,Moderate,Most of the time,Somewhat worried,Yes,1700,Full-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Somewhat disapprove,Somewhat approve
71,5/19/2020 11:06,Male,4,6,Moderate,Some of the time,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve
65,5/19/2020 11:06,Male,3,8,Moderate,Most of the time,Not too worried,Yes,1200,Retired,A different candidate,,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove
78,5/19/2020 11:09,Female,10,4,Moderate,Most of the time,Not too worried,No,,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Strongly disapprove,Strongly approve
21,5/19/2020 11:16,Female,3,6,Very liberal,Most of the time,Somewhat worried,Yes,2400,Part-time,Joe Biden (Democrat),,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly approve,Somewhat disapprove
25,5/19/2020 11:12,Male,1,2,Very conservative,Most of the time,Very worried,No,,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat approve,Somewhat approve,Strongly approve,Somewhat disapprove,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve
19,5/19/2020 11:19,Male,-3105,2,Conservative,Most of the time,Very worried,No,,Full-time,Donald Trump (Republican),,Strongly approve,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat disapprove,Not sure,Somewhat disapprove,Strongly disapprove,Somewhat approve,Strongly approve
23,5/19/2020 11:19,Female,17,6,Conservative,Some of the time,Somewhat worried,Yes,1200,Full-time,Donald Trump (Republican),,Somewhat approve,Somewhat disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve
65,5/19/2020 11:10,Male,3,2,Moderate,Some of the time,Not too worried,Yes,1200,Retired,Joe Biden (Democrat),,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve
30,5/19/2020 11:18,Female,11,6,Conservative,Some of the time,Somewhat worried,Yes,2400,Homemaker,Donald Trump (Republican),,Somewhat approve,Not sure,Strongly disapprove,Not sure,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Strongly approve
21,5/19/2020 11:17,Male,-3105,6,Very conservative,Some of the time,Not too worried,No,,Part-time,Donald Trump (Republican),,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve
19,5/19/2020 11:17,Male,10,6,Moderate,Some of the time,Somewhat worried,No,,Part-time,Donald Trump (Republican),,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve
67,5/19/2020 11:07,Male,12,4,Conservative,Some of the time,Somewhat worried,Yes,1200,Retired,Donald Trump (Republican),,Strongly approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve
